2026-09-24 23:59:26.041 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.042 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6218 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.043 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.044 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5E40 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.045 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DD958 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.046 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.047 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=2F2DDFC0 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.048 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=2F2DD810 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.048 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.049 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.050 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6218 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.051 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5E40 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.052 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=2F2DD810 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
